#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
109,Afghanistan,"177,321",,"7,657 ",,"160,402",,"9,262","1,124","4,385",189,"914,608","22,619","40,435,772 ",Asia,"2285,28144",,,229
110,Iceland,"176,179",,93 ,,"75,685",,"100,401",3,"510,584",270,"1,864,426","5,403,288","345,054 ",Europe,"23,7100",,,"290,972"
111,Maldives,"174,658",,297 ,,"163,687",,"10,674",25,"313,615",533,"2,213,831","3,975,147","556,918 ",Asia,"31,8750",,,"19,166"
112,Uganda,"163,775",,"3,595 ",,"100,157",,"60,023",7,"3,396",75,"2,529,930","52,462","48,223,596 ",Africa,"29413,41419",,,"1,245"
113,El Salvador,"161,052",,"4,113 ",,"141,145",,"15,794",45,"24,616",629,"1,847,861","282,439","6,542,518 ",North America,"411,5914",,,"2,414"
114,Ghana,"160,870",,"1,445 ",,"159,337",,88,1,"4,998",45,"2,395,678","74,427","32,188,278 ",Africa,"20022,27613",,,3
115,Laos,"159,047",,652 ,,"7,660",,"150,735",,"21,328",87,"1,012,890","135,828","7,457,164 ",Asia,"4711,4377",,,"20,213"
116,Namibia,"157,552",,"4,016 ",,"153,069",,467,4,"60,133","1,533","977,766","373,187","2,620,044 ",Africa,176523,,,178
117,Martinique,"141,415",,909 ,,104,,"140,402",8,"377,344","2,426","807,954","2,155,901","374,764 ",North America,34120,,,"374,641"
118,Trinidad and Tobago,"135,854",,"3,722 ",,"122,476",,"9,656",18,"96,536","2,645","661,720","470,210","1,407,286 ",North America,103782,,,"6,861"
119,Cambodia,"135,285",+63,"3,054 ",+2,"131,216",+55,"1,015",,"7,904",178,"2,918,114","170,481","17,116,986 ",Asia,"1275,6056",4,0.1,59
120,Guadeloupe,"130,705",,843 ,,"2,250",,"127,612",19,"326,565","2,106","938,039","2,343,680","400,242 ",North America,34750,,,"318,837"
121,Rwanda,"129,693",,"1,458 ",,"45,522",,"82,713",,"9,604",108,"5,045,090","373,594","13,504,202 ",Africa,"1049,2623",,,"6,125"
122,Jamaica,"128,594",,"2,872 ",,"80,489",,"45,233",25,"43,103",963,"905,572","303,536","2,983,406 ",North America,"231,0393",,,"15,162"
123,Brunei ,"128,306",,199 ,,"117,061",,"11,046",13,"288,532",448,"717,784","1,614,137","444,686 ",Asia,"32,2351",,,"24,840"
124,Cameroon,"119,544",,"1,927 ",,"117,455",,162,13,"4,318",70,"1,751,774","63,282","27,681,884 ",Africa,"23214,36516",,,6
125,Angola,"99,058",,"1,900 ",,"97,019",,139,,"2,861",55,"1,485,383","42,901","34,623,341 ",Africa,"35018,22323",,,4
126,DRC,"86,585",,"1,335 ",,"50,930",,"34,320",,919,14,"846,704","8,984","94,241,141 ",Africa,"1,08870,593111",,,364
127,Senegal,"85,838",,"1,964 ",,"83,839",,35,1,"4,904",112,"1,035,577","59,168","17,502,444 ",Africa,"2048,91217",,,2
128,Malawi,"85,574",,"2,626 ",,"78,108",,"4,840",67,"4,283",131,"558,538","27,955","19,979,748 ",Africa,"2337,60836",,,242
129,Ivory Coast,"81,675",,796 ,,"80,846",,33,,"2,970",29,"1,460,727","53,115","27,501,262 ",Africa,"33734,54919",,,1
130,Suriname,"79,100",+45,"1,324 ",,"49,372",+2,"28,404",,"132,791","2,223","234,561","393,773","595,675 ",South America,84503,76,,"47,684"
131,French Guiana,"78,326",,394 ,,"11,254",,"66,678",3,"251,052","1,263","605,571","1,940,989","311,991 ",South America,47921,,,"213,718"
132,Malta,"75,477",,626 ,,"71,470",,"3,381",1,"170,160","1,411","1,211,456","2,731,174","443,566 ",Europe,67090,,,"7,622"
133,French Polynesia,"71,673",,646 ,,N/A,N/A,N/A,7,"252,635","2,277",,,"283,702 ",Australia/Oceania,4439,,,"132,276"
134,Eswatini,"69,610",,"1,393 ",,"68,181",,36,11,"58,950","1,180","496,785","420,708","1,180,830 ",Africa,178482,,,30
135,Channel Islands,"65,277",,149 ,,"58,917",,"6,211",,"369,590",844,"1,236,474","7,000,759","176,620 ",Europe,"31,1850",,,"35,166"
136,Fiji,"64,335",,834 ,,"62,543",,958,,"70,883",919,"503,821","555,100","907,622 ",Australia/Oceania,"141,0882",,,"1,056"
137,Madagascar,"63,928",,"1,380 ",,"59,225",,"3,323",19,"2,211",48,"407,670","14,099","28,914,820 ",Africa,"45220,95371",,,115
138,Guyana,"63,208",,"1,226 ",,"61,865",,117,1,"79,699","1,546","561,899","708,500","793,083 ",South America,136471,,,148
139,Sudan,"61,862",,"4,900 ",,N/A,N/A,N/A,,"1,356",107,"562,941","12,343","45,609,533 ",Africa,"7379,30881",,,365
140,New Caledonia,"60,132",+48,310 ,+3,"59,085",+25,737,22,"207,195","1,068","98,964","340,996","290,220 ",Australia/Oceania,59363,165,10,"2,539"
141,Mauritania,"58,665",,981 ,,"57,676",,8,,"12,072",202,"772,030","158,862","4,859,757 ",Africa,"834,9546",,,2
142,Barbados,"58,018",,329 ,,"56,777",,912,,"201,465","1,142","605,395","2,102,212","287,980 ",North America,58750,,,"3,167"
143,Belize,"57,203",,654 ,,"56,218",,331,6,"139,505","1,595","517,169","1,261,259","410,042 ",North America,76271,,,807
144,Cabo Verde,"55,934",,401 ,,"55,466",,67,23,"98,758",708,"400,982","707,978","566,376 ",Africa,"101,4121",,,118
145,Syria,"55,610",,"3,129 ",,"51,302",,"1,179",,"3,050",172,"146,269","8,023","18,231,566 ",Asia,"3285,827125",,,65
146,Gabon,"47,581",,303 ,,"47,255",,23,,"20,544",131,"1,587,140","685,285","2,316,029 ",Africa,"497,6441",,,10
147,Papua New Guinea,"41,533",,639 ,,"39,905",,989,7,"4,496",69,"249,149","26,969","9,238,489 ",Australia/Oceania,"22214,45837",,,107
148,Seychelles,"39,991",,163 ,,"39,566",,262,,"402,344","1,640",,,"99,395 ",Africa,2610,,,"2,636"
149,Curaçao,"39,853",,265 ,,"39,097",,491,3,"241,171","1,604","494,095","2,990,021","165,248 ",North America,46240,,,"2,971"
150,Andorra,"39,713",,153 ,,"38,871",,689,14,"512,571","1,975","249,838","3,224,632","77,478 ",Europe,25060,,,"8,893"
151,Burundi,"38,372",,38 ,,773,,"37,561",,"3,070",3,"345,742","27,661","12,499,465 ",Africa,"326328,93336",,,"3,005"
152,Togo,"36,902",,272 ,,"36,580",,50,,"4,285",32,"712,451","82,725","8,612,325 ",Africa,"23331,66312",,,6
153,Mayotte,"36,745",,187 ,,"2,964",,"33,594",,"129,324",658,"176,919","622,665","284,132 ",Africa,"81,5192",,,"118,234"
154,Guinea,"36,459",,440 ,,"35,976",,43,8,"2,653",32,"660,107","48,025","13,745,136 ",Africa,"37731,23921",,,3
155,Mauritius,"35,585",,934 ,,"32,931",,"1,720",,"27,901",732,"358,675","281,226","1,275,399 ",Africa,"361,3664",,,"1,349"
156,Faeroe Islands,"34,237",,28 ,,"7,693",,"26,516",5,"696,129",569,"778,000","15,818,795","49,182 ",Europe,"11,7570",,,"539,140"
157,Aruba,"33,843",,212 ,,"33,591",,40,4,"314,684","1,971","177,885","1,654,036","107,546 ",North America,35071,,,372
158,Tanzania,"33,797",,800 ,,N/A,N/A,N/A,7,539,13,,,"62,658,757 ",Africa,"1,85478,323",,,524
159,Bahamas,"33,238",,787 ,,"32,164",,287,11,"83,155","1,969","225,483","564,118","399,709 ",North America,125082,,,718
160,Lesotho,"32,880",,697 ,,"24,116",,"8,067",,"15,142",321,"421,681","194,192","2,171,468 ",Africa,"663,1155",,,"3,715"
161,Haiti,"30,511",,827 ,,"27,708",,"1,976",,"2,621",71,"132,422","11,375","11,641,656 ",North America,"38214,07788",,,170
162,Mali,"30,463",,727 ,,"29,609",,127,,"1,433",34,"641,763","30,196","21,253,404 ",Africa,"69829,23433",,,6
163,Isle of Man,"27,022",,81 ,,"24,913",,"2,028",,"314,916",944,"150,753","1,756,885","85,807 ",Europe,"31,0591",,,"23,634"
164,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,127",13,"604,310","47,700","12,669,073 ",Africa,"47077,72421",,,101
165,Somalia,"26,400",,"1,348 ",,"13,182",,"11,870",,"1,585",81,"400,466","24,044","16,655,404 ",Africa,"63112,35642",,,713
166,Congo,"24,062",,384 ,,"20,178",,"3,500",,"4,184",67,"347,815","60,473","5,751,595 ",Africa,"23914,97817",,,609
167,Bhutan,"23,155",,9 ,,"20,713",,"2,433",7,"29,451",11,"2,077,114","2,641,882","786,225 ",Asia,"3487,3580",,,"3,095"
168,Saint Lucia,"22,905",,365 ,,"22,512",,28,1,"123,763","1,972","139,673","754,700","185,071 ",North America,85071,,,151
169,Timor-Leste,"22,813",,130 ,,"22,665",,18,9,"16,754",95,"252,951","185,771","1,361,630 ",Asia,"6010,4745",,,13
170,Taiwan,"22,327",+139,853 ,,"19,864",+64,"1,610",,935,36,"12,448,008","521,034","23,890,950 ",Asia,"1,07028,0082",6,,67
171,Burkina Faso,"20,751",,375 ,,"20,309",,67,,948,17,"248,995","11,376","21,888,557 ",Africa,"1,05558,36988",,,3
