#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
57,Singapore,"1,053,139",,"1,226 ",,"1,009,408",,"42,505",24,"177,606",207,"23,477,384","3,959,333","5,929,631 ",Asia,"64,8370",,,"7,168"
58,Tunisia,"1,033,731",,"28,165 ",,N/A,N/A,N/A,63,"85,917","2,341","4,500,701","374,070","12,031,715 ",Africa,124273,,,-46.04
59,Lithuania,"1,009,756","+3,314","8,804 ",+13,"932,357","+4,408","68,595",66,"380,059","3,314","8,016,908","3,017,459","2,656,841 ",Europe,33020,"1,247",5,"25,818"
60,Nepal,"978,297",,"11,951 ",,"964,127",,"2,219",100,"32,567",398,"5,521,055","183,793","30,039,531 ",Asia,"312,5145",,,74
61,Belarus,"955,600",,"6,759 ",,"928,536",,"20,305",,"101,186",716,"12,775,372","1,352,755","9,443,966 ",Europe,"101,3971",,,"2,150"
62,Slovenia,"949,640",,"6,461 ",,"905,924",,"37,255",50,"456,683","3,107","2,605,303","1,252,893","2,079,430 ",Europe,23221,,,"17,916"
63,Bolivia,"900,845",+288,"21,487 ",+3,"825,786","+1,866","53,572",220,"75,401","1,798","2,682,016","224,486","11,947,363 ",South America,135564,24,0.3,"4,484"
64,UAE,"889,108",,"2,302 ",,"860,513",,"26,293",,"88,063",228,"146,055,747","14,466,262","10,096,302 ",Asia,"114,3860",,,"2,604"
65,Uruguay,"881,152",,"7,147 ",,"864,614",,"9,391",40,"252,156","2,045","5,938,278","1,699,332","3,494,477 ",South America,44891,,,"2,687"
66,Ecuador,"855,314",,"35,413 ",,N/A,N/A,N/A,759,"47,243","1,956","2,470,170","136,439","18,104,609 ",South America,215117,,,"20,769"
67,Finland,"844,713","+10,675","2,985 ",+34,"46,000",,"795,728",32,"152,048",537,"10,331,340","1,859,642","5,555,554 ",Europe,"71,8611","1,922",6,"143,231"
68,Costa Rica,"833,909",,"8,263 ",,"786,453",,"39,193",72,"161,164","1,597","3,913,872","756,409","5,174,277 ",North America,66261,,,"7,575"
69,Guatemala,"821,834",,"17,267 ",,"790,080",,"14,487",5,"44,456",934,"4,180,812","226,156","18,486,425 ",North America,"221,0714",,,784
70,Azerbaijan,"791,604",,"9,672 ",,"781,394",,538,,"76,880",939,"6,676,788","648,442","10,296,661 ",Asia,"131,0652",,,52
71,Latvia,"786,974","+2,819","5,569 ",+10,"721,486",,"59,919",32,"425,331","3,010","7,016,881","3,792,367","1,850,264 ",Europe,23320,"1,524",5,"32,384"
72,Panama,"762,735",,"8,160 ",,"751,821",,"2,754",10,"172,106","1,841","5,659,857","1,277,106","4,431,782 ",North America,65431,,,621
73,Saudi Arabia,"750,080",,"9,034 ",,"732,741",,"8,305",146,"20,982",253,"41,436,288","1,159,124","35,747,922 ",Asia,"483,9571",,,232
74,Sri Lanka,"660,399",,"16,450 ",,"637,011",,"6,938",,"30,619",763,"6,368,159","295,260","21,567,981 ",Asia,"331,3113",,,322
75,Paraguay,"647,672",,"18,608 ",,"623,980",,"5,084",45,"88,923","2,555","2,579,054","354,095","7,283,499 ",South America,113913,,,698
76,Kuwait,"628,130",,"2,553 ",,"623,331",,"2,246",10,"143,429",583,"7,763,313","1,772,696","4,379,382 ",Asia,"71,7151",,,513
77,Myanmar,"610,176",,"19,428 ",,"566,838",,"23,910",,"11,086",353,"7,560,882","137,375","55,038,390 ",Asia,"902,8337",,,434
78,Palestine,"580,873",,"5,345 ",,"574,144",,"1,384",17,"109,482","1,007","3,078,533","580,238","5,305,634 ",Asia,99932,,,261
79,Dominican Republic,"577,673",,"4,375 ",,"572,853",,445,24,"52,347",396,"3,208,952","290,788","11,035,363 ",North America,"192,5223",,,40
80,New Zealand,"573,244","+15,914",201 ,+9,"452,418","+14,149","120,625",,"114,601",40,"6,902,982","1,380,017","5,002,100 ",Australia/Oceania,"924,8861","3,181",2,"24,115"
81,Estonia,"549,793","+1,462","2,429 ",+6,"466,612","+2,875","80,752",14,"413,978","1,829","3,223,248","2,427,013","1,328,072 ",Europe,25470,"1,101",5,"60,804"
82,Bahrain,"548,866",,"1,466 ",,"539,213",,"8,187",7,"304,356",813,"9,569,757","5,306,597","1,803,370 ",Asia,"31,2300",,,"4,540"
83,Venezuela,"519,943",,"5,674 ",,"512,090",,"2,179",230,"18,374",201,"3,359,014","118,705","28,297,087 ",South America,"544,9878",,,77
84,Moldova,"511,231",,"11,401 ",,"496,239",,"3,591",60,"127,241","2,838","3,125,532","777,920","4,017,805 ",Europe,83521,,,894
85,Libya,"501,379",,"6,392 ",,"488,723",,"6,264",107,"71,297",909,"2,467,798","350,924","7,032,278 ",Africa,"141,1003",,,891
86,Egypt,"500,889",,"24,361 ",,"430,198",,"46,330",122,"4,741",231,"3,693,367","34,956","105,659,029 ",Africa,"2114,33729",,,438
87,Ethiopia,"469,544",,"7,491 ",,"429,269",,"32,784",16,"3,917",62,"4,622,381","38,563","119,867,108 ",Africa,"25516,00126",,,274
88,Mongolia,"467,884",+103,"2,177 ",,"313,256",,"152,451",192,"138,869",646,"4,030,048","1,196,130","3,369,238 ",Asia,"71,5481",31,,"45,248"
89,Armenia,"422,423",+22,"8,607 ",+3,"409,693",+58,"4,123",,"142,097","2,895","2,961,990","996,368","2,972,788 ",Asia,73451,7,1,"1,387"
90,Honduras,"418,492",,"10,869 ",,"131,100",,"276,523",105,"41,125","1,068","1,263,329","124,148","10,175,991 ",North America,249368,,,"27,174"
91,Cyprus,"397,205",,927 ,,"124,370",,"271,908",60,"324,911",758,"9,477,138","7,752,228","1,222,505 ",Asia,"31,3190",,,"222,419"
92,Oman,"387,922",,"4,250 ",,"381,949",,"1,723",15,"72,777",797,"25,000,000","4,690,207","5,330,255 ",Asia,"141,2540",,,323
93,Bosnia and Herzegovina,"374,696",,"15,695 ",,"192,218",,"166,783",,"115,446","4,836","1,729,817","532,965","3,245,651 ",Europe,92072,,,"51,387"
94,Qatar,"360,497",,677 ,,"358,686",,"1,134",1,"128,391",241,"3,403,146","1,212,031","2,807,805 ",Asia,"84,1471",,,404
95,Réunion,"327,189",,702 ,,"314,338",,"12,149",41,"361,007",775,"1,569,429","1,731,644","906,323 ",Africa,"31,2911",,,"13,405"
96,Kenya,"323,333",,"5,647 ",,"317,581",,105,1,"5,793",101,"3,487,114","62,481","55,811,127 ",Africa,"1739,88316",,,2
97,Zambia,"316,312",,"3,965 ",,"311,481",,866,1,"16,414",206,"3,341,351","173,393","19,270,361 ",Africa,"614,8606",,,45
98,North Macedonia,"304,326",,"9,191 ",,"293,171",,"1,964",,"146,084","4,412","1,904,444","914,180","2,083,227 ",Europe,72271,,,943
99,Albania,"273,257",,"3,489 ",,"269,307",,461,13,"95,133","1,215","1,770,982","616,555","2,872,382 ",Europe,118232,,,160
100,Algeria,"265,599",,"6,873 ",,"178,225",,"80,501",7,"5,874",152,"230,861","5,106","45,215,035 ",Africa,"1706,579196",,,"1,780"
101,Botswana,"263,950",,"2,619 ",,"259,434",,"1,897",1,"108,469","1,076","2,026,898","832,946","2,433,408 ",Africa,99291,,,780
102,Nigeria,"255,244",,"3,142 ",,"249,486",,"2,616",11,"1,188",15,"4,726,096","21,988","214,937,335 ",Africa,"84268,40845",,,12
103,Zimbabwe,"245,467",,"5,434 ",,"236,096",,"3,937",12,"16,111",357,"2,170,726","142,476","15,235,687 ",Africa,"622,8047",,,258
104,Uzbekistan,"237,542",+9,"1,637 ",,"235,265",+41,640,23,"6,924",48,"1,377,915","40,167","34,304,898 ",Asia,"14420,95625",0.3,,19
105,Montenegro,"232,561",,"2,698 ",,"229,156",,707,6,"370,200","4,295","1,202,443","1,914,099","628,203 ",Europe,32331,,,"1,125"
106,Mozambique,"225,223",,"2,200 ",,"222,045",,978,13,"6,874",67,"1,291,515","39,420","32,763,034 ",Africa,"14514,89225",,,30
